# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51728
# ./cyclasar filter 0 0.001 10 sar-1880-2021.tsv filtered-sar-1880-2021.tsv
t/a	At/µhsp
1958.571289062	3296.655847504
1958.573974609	3295.886227373
1958.576660156	3295.111480288
1958.579467773	3294.331606250
1958.582153320	3293.546361119
1958.584960938	3292.756721456
1958.587646484	3291.960489997
1958.590454102	3291.160352287
1958.593139648	3290.354355203
1958.595947266	3289.543719447
1958.598632812	3288.727468456
1958.601318359	3287.906334653
1958.604125977	3287.080562177
1958.606811523	3286.248686187
1958.609619141	3285.412171524
1958.612304688	3284.570041627
1958.615112305	3283.723517199
1958.617797852	3282.871865817
1958.620605469	3282.014843342
1958.623291016	3281.152449773
1958.625976562	3280.284685111
1958.628784180	3279.412281776
1958.631469727	3278.534263207
1958.634277344	3277.651361826
1958.636962891	3276.763333491
1958.639770508	3275.870422344
1958.642456055	3274.972140104
1958.645263672	3274.068486769
1958.647949219	3273.159462341
1958.650634766	3272.245555100
1958.653442383	3271.326520906
1958.656127930	3270.402359759
1958.658935547	3269.473315800
1958.661621094	3268.538656606
1958.664428711	3267.599114599
1958.667114258	3266.654201499
1958.669921875	3265.703917305
1958.672607422	3264.748994440
1958.675292969	3263.788456340
1958.678100586	3262.823523708
1958.680786133	3261.852731702
1958.683593750	3260.876568602
1958.686279297	3259.895278548
1958.689086914	3258.909105683
1958.691772461	3257.917805864
1958.694580078	3256.921134951
1958.697265625	3255.919337085
1958.699951172	3254.912168126
1958.702758789	3253.900116354
1958.705444336	3252.882693488
1958.708251953	3251.860631950
1958.710937500	3250.832711038
1958.713745117	3249.799907313
1958.716430664	3248.761976634
1958.719238281	3247.717942441
1958.721923828	3246.669757856
1958.724609375	3245.616202178
1958.727416992	3244.557275406
1958.730102539	3243.492733399
1958.732910156	3242.424285143
1958.735595703	3241.349489230
1958.738403320	3240.269566365
1958.741088867	3239.184272405
1958.743896484	3238.094583914
1958.746582031	3236.998791908
1958.749267578	3235.897872948
1958.752075195	3234.793047739
1958.754760742	3233.681874873
1958.757568359	3232.565819195
1958.760253906	3231.444636563
1958.763061523	3230.317838698
1958.765747070	3229.185425598
1958.768432617	3228.049106247
1958.771240234	3226.906683382
1958.773925781	3225.759133563
1958.776733398	3224.605968510
1958.779418945	3223.448653066
1958.782226562	3222.284989966
1958.784912109	3221.115955772
1958.787719727	3219.942282906
1958.790405273	3218.763483087
1958.793090820	3217.579068034
1958.795898438	3216.389526027
1958.798583984	3215.195101208
1958.801391602	3213.994817015
1958.804077148	3212.789650008
1958.806884766	3211.579356049
1958.809570312	3210.364179277
1958.812377930	3209.142898989
1958.815063477	3207.916491748
1958.817749023	3206.685445836
1958.820556641	3205.448052267
1958.823242188	3204.206752448
1958.826049805	3202.959104973
1958.828735352	3201.706330545
1958.831542969	3200.448429163
1958.834228516	3199.185889110
1958.837036133	3197.917245541
1958.839721680	3196.643963300
1958.842407227	3195.365309966
1958.845214844	3194.080553116
1958.847900391	3192.791401734
1958.850708008	3191.496635118
1958.853393555	3190.196985690
1958.856201172	3188.891721028
1958.858886719	3187.580841131
1958.861694336	3186.264590140
1958.864379883	3184.943456337
1958.867065430	3183.616951440
1958.869873047	3182.285319589
1958.872558594	3180.948316645
1958.875366211	3179.605942608
1958.878051758	3178.257709195
1958.880859375	3176.905081251
1958.883544922	3175.546349792
1958.886352539	3174.183467942
1958.889038086	3172.814238435
1958.891723633	3171.439637835
1958.894531250	3170.060398563
1958.897216797	3168.675299916
1958.900024414	3167.285074316
1958.902709961	3165.889477622
1958.905517578	3164.488753975
1958.908203125	3163.082659234
1958.911010742	3161.670705119
1958.913696289	3160.254112331
1958.916381836	3158.831416028
1958.919189453	3157.404325193
1958.921875000	3155.971619124
1958.924682617	3154.533786102
1958.927368164	3153.089605424
1958.930175781	3151.640786074
1958.932861328	3150.186839771
1958.935668945	3148.727034092
1958.938354492	3147.262101461
1958.941040039	3145.792041876
1958.943847656	3144.316367058
1958.946533203	3142.835565286
1958.949340820	3141.349148279
1958.952026367	3139.857604320
1958.954833984	3138.359956845
1958.957519531	3136.857426557
1958.960327148	3135.350745879
1958.963012695	3133.836985122
1958.965698242	3132.318097413
1958.968505859	3130.794815172
1958.971191406	3129.265185275
1958.973999023	3127.731160847
1958.976684570	3126.190544622
1958.979492188	3124.645533865
1958.982177734	3123.094663734
1958.984985352	3121.539399071
1958.987670898	3119.977298471
1958.990356445	3118.410559199
1958.993164062	3116.837960552
