# YYYY MM DD  Total  North  South
# Time base:   1
# Time unit:   d
# Point count: 51656
freq/1/d	|At|/µhsp
0.002090754	9.308603287
0.002110113	32.749156952
0.002129472	36.398471832
0.002148831	44.276763916
0.002168190	33.070156097
0.002187548	14.712085724
0.002206907	49.469688416
0.002226266	17.662179947
0.002245625	34.402462006
0.002264984	26.615091324
0.002284343	6.947529793
0.002303701	9.140593529
0.002323060	20.113243103
0.002342419	4.575782776
0.002361778	32.632560730
0.002381137	31.963933945
0.002400496	17.324018478
0.002419854	7.000661850
0.002439213	6.650218010
0.002458572	23.617189407
0.002477931	9.943834305
0.002497290	49.786602020
0.002516649	55.497859955
0.002536007	27.518075943
0.002555366	28.223287582
0.002574725	51.900035858
0.002594084	26.415975571
0.002613443	35.893188477
0.002632802	23.331865311
0.002652160	14.822970390
0.002671519	20.396633148
0.002690878	23.754009247
0.002710237	32.781002045
0.002729596	4.638050079
0.002748955	10.972528458
0.002768313	26.481023788
0.002787672	19.923465729
0.002807031	6.315895557
0.002826390	45.055923462
0.002845749	29.076740265
0.002865108	53.268337250
0.002884466	29.659746170
0.002903825	13.777656555
0.002923184	18.182092667
0.002942543	8.605194092
0.002961902	7.132594585
0.002981261	24.616870880
0.003000619	20.367694855
0.003019978	21.231798172
0.003039337	18.129714966
0.003058696	12.268078804
0.003078055	26.039319992
0.003097414	20.293224335
0.003116772	26.445848465
0.003136131	24.272350311
0.003155490	15.489274979
0.003174849	8.202987671
0.003194208	31.762916565
0.003213567	22.390069962
0.003232926	6.900978565
0.003252284	11.415013313
0.003271643	13.752788544
0.003291002	15.011405945
0.003310361	24.285354614
0.003329720	11.889013290
0.003349079	23.283891678
0.003368437	14.406110764
0.003387796	36.121540070
0.003407155	1.469029188
0.003426514	11.529576302
0.003445873	19.351402283
0.003465232	28.390075684
0.003484590	30.099412918
0.003503949	23.218044281
0.003523308	24.970947266
0.003542667	28.049102783
0.003562026	30.678621292
0.003581385	55.584350586
0.003600743	3.977771282
0.003620102	28.531427383
0.003639461	23.656927109
0.003658820	19.079240799
0.003678179	22.034114838
0.003697538	10.605551720
0.003716896	5.604847908
0.003736255	27.776729584
0.003755614	34.685504913
0.003774973	21.869491577
0.003794332	33.045448303
0.003813691	29.995763779
0.003833049	20.783836365
0.003852408	25.119815826
0.003871767	29.824432373
0.003891126	12.234933853
0.003910485	25.693054199
0.003929844	13.510334969
0.003949202	21.038938522
0.003968561	48.787174225
0.003987920	22.504278183
0.004007279	11.002068520
0.004026638	3.209242582
0.004045997	46.601921082
0.004065355	21.552070618
0.004084714	21.753856659
0.004104073	11.473171234
0.004123432	10.361244202
0.004142791	12.342531204
0.004162150	20.795892715
0.004181508	48.929019928
0.004200867	22.222242355
0.004220226	32.081336975
0.004239585	40.067234039
0.004258944	25.723585129
0.004278303	12.863017082
0.004297661	33.626117706
0.004317020	15.794471741
0.004336379	10.999766350
0.004355738	25.900793076
0.004375097	13.742658615
0.004394456	11.691663742
0.004413814	17.750680923
0.004433173	43.592952728
0.004452532	26.953395844
0.004471891	10.515384674
0.004491250	19.269248962
0.004510609	30.455320358
0.004529967	18.550327301
0.004549326	13.315711975
0.004568685	25.990983963
0.004588044	29.949415207
0.004607403	34.975196838
0.004626762	39.177902222
0.004646120	6.821836948
0.004665479	13.497651100
0.004684838	6.439409256
0.004704197	11.471935272
0.004723556	21.791702271
0.004742915	23.616758347
0.004762274	29.077894211
0.004781632	16.168918610
0.004800991	8.933670044
0.004820350	16.567127228
0.004839709	28.570962906
0.004859068	16.309658051
0.004878427	24.766481400
0.004897785	12.813518524
0.004917144	17.555784225
0.004936503	10.118004799
0.004955862	17.577274323
0.004975221	13.861582756
0.004994580	24.088762283
0.005013938	9.052367210
0.005033297	12.995902061
0.005052656	27.040641785
0.005072015	29.624603271
0.005091374	20.465555191
